what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916078795
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1289916078826
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1289916078826
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916083639
started,bundle,org.eclipse.pde.core,3.6.0.v20100601,"org.eclipse.pde.core",1289916086280
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916086420
started,bundle,org.eclipse.jpt.core,2.3.0.v201006020000,"org.eclipse.jpt.core",1289916086717
started,bundle,org.eclipse.jdt.apt.core,3.3.400.v20100513-0845,"org.eclipse.jdt.apt.core",1289916087498
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.300.v20100513-0845,"org.eclipse.jdt.apt.pluggable.core",1289916087498
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1289916092076
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1289916092123
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1289916092201
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1289916092733
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916107967
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916109936
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1289916114342
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916146608
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916159061
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1289916159186
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1289916159795
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1289916159811
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1289916160201
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1289916160248
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1289916160373
started,bundle,org.eclipse.jst.jee,1.0.300.v201005191301,"org.eclipse.jst.jee",1289916160530
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1289916174014
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1289916174061
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1289916174061
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1289916176233
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1289916177530
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1289916178389
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1289916178467
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1289916181545
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1289916184123
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1289916190967
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1289916193217
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1289916196748
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1289916196920
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1289916197873
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916200780
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916206826
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1289916208655
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916252499
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916285952
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1289916291108
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916300139
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916304749
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1289916305593
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916337640
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916342421
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916353687
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916446890
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916447578
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916454969
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916455265
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916456250
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916487344
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916487344
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916489406
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916621517
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916621563
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916629454
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916630095
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916630095
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916630204
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916631392
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916632720
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916633735
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916635267
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916635360
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916635798
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916638657
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916639657
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916697720
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916744330
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916744345
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916744455
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916760002
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1289916760017
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916763189
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916895940
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289916898487
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289917633367
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289917633476
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289917634476
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.0.v201006082045,"org.eclipse.wst.jsdt.debug.core",1289917634664
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289917634898
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1289917637429
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1289917638382
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1289917638382
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1289917638382
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1289917638398
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1289917638398
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1289917638398
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1290087699430
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1290087699430
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1290087699430
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1290087699445
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1290087699445
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1290087699445
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1290087699445
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1290087699445
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1290087699445
started,bundle,org.eclipse.core.filesystem,1.3.0.v20100526-0737,"org.eclipse.core.filesystem",1290087699445
started,bundle,org.eclipse.core.jobs,3.5.0.v20100515,"org.eclipse.core.jobs",1290087699445
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1290087699445
started,bundle,org.eclipse.core.resources,3.6.0.v20100526-0737,"org.eclipse.core.resources",1290087699445
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1290087699445
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1290087699445
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1290087699445
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1290087699445
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1290087699445
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1290087699445
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1290087699445
started,bundle,org.eclipse.equinox.app,1.3.0.v20100512,"org.eclipse.equinox.app",1290087699445
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1290087699445
started,bundle,org.eclipse.equinox.ds,1.2.0.v20100507,"org.eclipse.equinox.ds",1290087699445
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1290087699445
started,bundle,org.eclipse.equinox.p2.core,2.0.0.v20100510,"org.eclipse.equinox.p2.core",1290087699445
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.200.v20100601,"org.eclipse.equinox.p2.directorywatcher",1290087699445
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1290087699445
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1290087699445
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1290087699445
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1290087699445
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1290087699727
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1290087699727
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1290087699727
started,bundle,org.eclipse.jdt.apt.core,3.3.400.v20100513-0845,"org.eclipse.jdt.apt.core",1290087699727
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.300.v20100513-0845,"org.eclipse.jdt.apt.pluggable.core",1290087699727
started,bundle,org.eclipse.jdt.core,3.6.0.v_A58,"org.eclipse.jdt.core",1290087699727
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1290087699727
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1290087699727
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1290087699727
started,bundle,org.eclipse.jface,3.6.0.I20100601-0800,"org.eclipse.jface",1290087699727
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1290087699727
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1290087699727
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1290087699727
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1290087699727
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1290087699727
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1290087699727
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1290087699727
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1290087699742
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1290087699742
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1290087699742
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1290087699742
started,bundle,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui",1290087699742
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1290087699742
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1290087699742
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1290087699742
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1290087699742
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1290087699742
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1290087699742
