what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291301969229
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291301969714
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291301973714
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291301974495
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1291301976276
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1291301978511
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291301979448
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291301980292
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291301980308
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291301981761
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1291301982526
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1291301986011
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291301987136
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291301988089
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1291301988901
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1291301990558
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291301991683
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291301992714
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1291301994073
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1291301994073
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1291302044808
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1291302046027
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1291302047933
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1291302047965
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291302048762
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291302049621
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291302049637
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291302050621
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1291302051371
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291302081637
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291302081637
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291302081668
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291302086090
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291302149825
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291302152091
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291302155529
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291302158685
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291302161450
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291302161450
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291302161513
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291302167982
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291302185388
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291302186435
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1291302187138
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1291302191060
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291302192013
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291302197217
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291302197217
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291302198545
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291302200592
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291302215545
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291302215561
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291302219748
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291302221670
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291302221670
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291302221764
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291302225592
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1291302227029
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1291302237123
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1291302238858
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1291302241248
