what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1282826951740
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1282826951849
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1282826952240
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282826955037
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282827041489
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1282827041864
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1282827041927
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282827045380
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282827054177
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1282827057630
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1282827058474
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282827065849
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282827069833
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1282827071192
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1282827071427
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1282827074442
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1282827074755
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1282827074770
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1282827075177
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1282827075224
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282827076192
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282827076223
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282827076286
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282827077692
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1282827078161
started,bundle,org.eclipse.wst.common.emf,1.2.0.v201005200700,"org.eclipse.wst.common.emf",1282827078770
started,bundle,org.eclipse.jem.util,2.1.0.v201005130500,"org.eclipse.jem.util",1282827078911
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.0.v201004110600,"org.eclipse.wst.common.emfworkbench.integration",1282827078911
started,bundle,org.eclipse.wst.common.modulecore,1.2.0.v201005200200,"org.eclipse.wst.common.modulecore",1282827078927
started,bundle,org.eclipse.jst.j2ee.core,1.2.0.v201005200200,"org.eclipse.jst.j2ee.core",1282827079161
started,bundle,org.eclipse.jem,2.0.400.v201005110200,"org.eclipse.jem",1282827079395
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1282827079614
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1282827080098
started,bundle,org.eclipse.jst.j2ee,1.1.400.v201005271900,"org.eclipse.jst.j2ee",1282827080114
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1282827080239
