what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286889295443
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286889295443
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286889295568
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286889299475
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286889300662
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1286889302600
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286889311553
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286889312553
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1286889313287
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286889319053
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1286889319693
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1286889320209
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286889331084
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286889331256
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1286889334506
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286889336865
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286889338850
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286889348693
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286889350318
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1286889350975
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1286889353506
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286889378662
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286889380928
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286889382693
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286889382693
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286889382787
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286889393865
