what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1288273232658
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.smartEnter",1288273264956
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1288273275128
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1288273275565
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1288273278471
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1288273281925
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288273283393
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288273354909
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288273402675
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288273403972
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1288273427535
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1288273430722
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1288273446723
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1288273490020
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288273494098
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288273494926
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1288273498645
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1288273522082
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.smartEnter",1288273534989
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1288273541598
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1288273550754
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1288273570223
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1288273570583
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288273597380
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288273598489
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1288273600989
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1288273637067
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288273689724
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288273690708
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1288273691349
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1288273706662
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288273711459
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288273712349
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1288273713490
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1288273722162
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1288273734912
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1288273792178
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288273795022
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288273797194
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1288273798772
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1288273805694
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1288273806506
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1288273810100
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1288273869991
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1288273871835
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288273874991
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288273876178
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1288273876928
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1288273882694
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1288273887272
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288273895632
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288273896476
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1288273897147
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1288273916788
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1288273922507
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1288273924304
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288273928320
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288273929601
